"Date","Open","High","Low","Close","Volume"
#2008-01-01#,"#N/A N/A","#N/A N/A","#N/A N/A",21.17,"#N/A N/A"
#2008-01-02#,"#N/A N/A","#N/A N/A","#N/A N/A",21.23,"#N/A N/A"
#2008-01-03#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-01-04#,"#N/A N/A","#N/A N/A","#N/A N/A",21.28,"#N/A N/A"
#2008-01-07#,"#N/A N/A","#N/A N/A","#N/A N/A",21.3,"#N/A N/A"
#2008-01-08#,"#N/A N/A","#N/A N/A","#N/A N/A",21.33,"#N/A N/A"
#2008-01-09#,"#N/A N/A","#N/A N/A","#N/A N/A",21.32,"#N/A N/A"
#2008-01-10#,"#N/A N/A","#N/A N/A","#N/A N/A",21.29,"#N/A N/A"
#2008-01-11#,"#N/A N/A","#N/A N/A","#N/A N/A",21.28,"#N/A N/A"
#2008-01-14#,"#N/A N/A","#N/A N/A","#N/A N/A",21.28,"#N/A N/A"
#2008-01-15#,"#N/A N/A","#N/A N/A","#N/A N/A",21.29,"#N/A N/A"
#2008-01-16#,"#N/A N/A","#N/A N/A","#N/A N/A",21.29,"#N/A N/A"
#2008-01-17#,"#N/A N/A","#N/A N/A","#N/A N/A",21.26,"#N/A N/A"
#2008-01-18#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-01-21#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-01-22#,"#N/A N/A","#N/A N/A","#N/A N/A",21.19,"#N/A N/A"
#2008-01-23#,"#N/A N/A","#N/A N/A","#N/A N/A",21.22,"#N/A N/A"
#2008-01-24#,"#N/A N/A","#N/A N/A","#N/A N/A",21.21,"#N/A N/A"
#2008-01-25#,"#N/A N/A","#N/A N/A","#N/A N/A",21.26,"#N/A N/A"
#2008-01-28#,"#N/A N/A","#N/A N/A","#N/A N/A",21.27,"#N/A N/A"
#2008-01-29#,"#N/A N/A","#N/A N/A","#N/A N/A",21.28,"#N/A N/A"
#2008-01-30#,"#N/A N/A","#N/A N/A","#N/A N/A",21.3,"#N/A N/A"
#2008-01-31#,"#N/A N/A","#N/A N/A","#N/A N/A",21.31,"#N/A N/A"
#2008-02-01#,"#N/A N/A","#N/A N/A","#N/A N/A",21.35,"#N/A N/A"
#2008-02-04#,"#N/A N/A","#N/A N/A","#N/A N/A",21.34,"#N/A N/A"
#2008-02-05#,"#N/A N/A","#N/A N/A","#N/A N/A",21.32,"#N/A N/A"
#2008-02-06#,"#N/A N/A","#N/A N/A","#N/A N/A",21.3,"#N/A N/A"
#2008-02-07#,"#N/A N/A","#N/A N/A","#N/A N/A",21.2,"#N/A N/A"
#2008-02-08#,"#N/A N/A","#N/A N/A","#N/A N/A",21.09,"#N/A N/A"
#2008-02-11#,"#N/A N/A","#N/A N/A","#N/A N/A",21.12,"#N/A N/A"
#2008-02-12#,"#N/A N/A","#N/A N/A","#N/A N/A",21.13,"#N/A N/A"
#2008-02-13#,"#N/A N/A","#N/A N/A","#N/A N/A",21.16,"#N/A N/A"
#2008-02-14#,"#N/A N/A","#N/A N/A","#N/A N/A",21.12,"#N/A N/A"
#2008-02-15#,"#N/A N/A","#N/A N/A","#N/A N/A",21.12,"#N/A N/A"
#2008-02-18#,"#N/A N/A","#N/A N/A","#N/A N/A",21.12,"#N/A N/A"
#2008-02-19#,"#N/A N/A","#N/A N/A","#N/A N/A",21.05,"#N/A N/A"
#2008-02-20#,"#N/A N/A","#N/A N/A","#N/A N/A",21.03,"#N/A N/A"
#2008-02-21#,"#N/A N/A","#N/A N/A","#N/A N/A",21.08,"#N/A N/A"
#2008-02-22#,"#N/A N/A","#N/A N/A","#N/A N/A",21.1,"#N/A N/A"
#2008-02-25#,"#N/A N/A","#N/A N/A","#N/A N/A",21.09,"#N/A N/A"
#2008-02-26#,"#N/A N/A","#N/A N/A","#N/A N/A",21.15,"#N/A N/A"
#2008-02-27#,"#N/A N/A","#N/A N/A","#N/A N/A",21.15,"#N/A N/A"
#2008-02-28#,"#N/A N/A","#N/A N/A","#N/A N/A",21.2,"#N/A N/A"
#2008-02-29#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-03-03#,"#N/A N/A","#N/A N/A","#N/A N/A",21.23,"#N/A N/A"
#2008-03-04#,"#N/A N/A","#N/A N/A","#N/A N/A",21.22,"#N/A N/A"
#2008-03-05#,"#N/A N/A","#N/A N/A","#N/A N/A",21.21,"#N/A N/A"
#2008-03-06#,"#N/A N/A","#N/A N/A","#N/A N/A",21.18,"#N/A N/A"
#2008-03-07#,"#N/A N/A","#N/A N/A","#N/A N/A",21.16,"#N/A N/A"
#2008-03-10#,"#N/A N/A","#N/A N/A","#N/A N/A",21.14,"#N/A N/A"
#2008-03-11#,"#N/A N/A","#N/A N/A","#N/A N/A",21.16,"#N/A N/A"
#2008-03-12#,"#N/A N/A","#N/A N/A","#N/A N/A",21.21,"#N/A N/A"
#2008-03-13#,"#N/A N/A","#N/A N/A","#N/A N/A",21.15,"#N/A N/A"
#2008-03-14#,"#N/A N/A","#N/A N/A","#N/A N/A",21.17,"#N/A N/A"
#2008-03-17#,"#N/A N/A","#N/A N/A","#N/A N/A",21.1,"#N/A N/A"
#2008-03-18#,"#N/A N/A","#N/A N/A","#N/A N/A",21.2,"#N/A N/A"
#2008-03-19#,"#N/A N/A","#N/A N/A","#N/A N/A",21.23,"#N/A N/A"
#2008-03-20#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-03-21#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-03-24#,"#N/A N/A","#N/A N/A","#N/A N/A",21.24,"#N/A N/A"
#2008-03-25#,"#N/A N/A","#N/A N/A","#N/A N/A",21.22,"#N/A N/A"
#2008-03-26#,"#N/A N/A","#N/A N/A","#N/A N/A",21.2,"#N/A N/A"
#2008-03-27#,"#N/A N/A","#N/A N/A","#N/A N/A",21.18,"#N/A N/A"
#2008-03-28#,"#N/A N/A","#N/A N/A","#N/A N/A",21.17,"#N/A N/A"
#2008-03-31#,"#N/A N/A","#N/A N/A","#N/A N/A",21.15,"#N/A N/A"
#2008-04-01#,"#N/A N/A","#N/A N/A","#N/A N/A",21.15,"#N/A N/A"
#2008-04-02#,"#N/A N/A","#N/A N/A","#N/A N/A",21.17,"#N/A N/A"
#2008-04-03#,"#N/A N/A","#N/A N/A","#N/A N/A",21.22,"#N/A N/A"
#2008-04-04#,"#N/A N/A","#N/A N/A","#N/A N/A",21.31,"#N/A N/A"
#2008-04-07#,"#N/A N/A","#N/A N/A","#N/A N/A",21.32,"#N/A N/A"
#2008-04-08#,"#N/A N/A","#N/A N/A","#N/A N/A",21.36,"#N/A N/A"
#2008-04-09#,"#N/A N/A","#N/A N/A","#N/A N/A",21.36,"#N/A N/A"
#2008-04-10#,"#N/A N/A","#N/A N/A","#N/A N/A",21.36,"#N/A N/A"
#2008-04-11#,"#N/A N/A","#N/A N/A","#N/A N/A",21.42,"#N/A N/A"
#2008-04-14#,"#N/A N/A","#N/A N/A","#N/A N/A",21.43,"#N/A N/A"
#2008-04-15#,"#N/A N/A","#N/A N/A","#N/A N/A",21.43,"#N/A N/A"
#2008-04-16#,"#N/A N/A","#N/A N/A","#N/A N/A",21.42,"#N/A N/A"
#2008-04-17#,"#N/A N/A","#N/A N/A","#N/A N/A",21.4,"#N/A N/A"
#2008-04-18#,"#N/A N/A","#N/A N/A","#N/A N/A",21.4,"#N/A N/A"
#2008-04-21#,"#N/A N/A","#N/A N/A","#N/A N/A",21.39,"#N/A N/A"
#2008-04-22#,"#N/A N/A","#N/A N/A","#N/A N/A",21.38,"#N/A N/A"
#2008-04-23#,"#N/A N/A","#N/A N/A","#N/A N/A",21.37,"#N/A N/A"
